url,datetime,title,row_index,mode,header_mode,needed_bits,capacity_bits,fits,success,substitutions,ppl_content,ppl_stego,delta_ppl,ratio_ppl
,,gutenberg_0,0,NOUN,len_crc,96,50,0,0,0,62.003692626953125,,,
,,gutenberg_0,0,VERB,len_crc,96,155,1,1,65,62.003692626953125,87.74357604980469,25.739883422851562,1.4151346852471556
,,gutenberg_0,0,ADJ,len_crc,96,22,0,0,0,62.003692626953125,,,
,,gutenberg_0,0,ANY,len_crc,96,227,1,1,64,62.003692626953125,86.92150115966797,24.917808532714844,1.4018762024809313
,,gutenberg_1,1,NOUN,len_crc,96,100,1,1,51,87.83776092529297,110.41405487060547,22.5762939453125,1.2570226484315088
,,gutenberg_1,1,VERB,len_crc,96,121,1,1,55,87.83776092529297,114.17364501953125,26.33588409423828,1.2998241737586782
,,gutenberg_1,1,ADJ,len_crc,96,6,0,0,0,87.83776092529297,,,
,,gutenberg_1,1,ANY,len_crc,96,227,1,1,51,87.83776092529297,108.74019622802734,20.902435302734375,1.2379663948915107
,,gutenberg_2,2,NOUN,len_crc,96,95,0,0,0,87.75060272216797,,,
,,gutenberg_2,2,VERB,len_crc,96,131,1,1,65,87.75060272216797,120.30813598632812,32.557533264160156,1.3710234716819252
,,gutenberg_2,2,ADJ,len_crc,96,14,0,0,0,87.75060272216797,,,
,,gutenberg_2,2,ANY,len_crc,96,240,1,1,60,87.75060272216797,117.20472717285156,29.454124450683594,1.33565723239463
,,gutenberg_3,3,NOUN,len_crc,96,116,1,1,58,36.44011306762695,43.84803771972656,7.407924652099609,1.203290386019157
,,gutenberg_3,3,VERB,len_crc,96,91,0,0,0,36.44011306762695,,,
,,gutenberg_3,3,ADJ,len_crc,96,9,0,0,0,36.44011306762695,,,
,,gutenberg_3,3,ANY,len_crc,96,216,1,1,60,36.44011306762695,47.436588287353516,10.996475219726562,1.3017684165611365
,,gutenberg_4,4,NOUN,len_crc,96,97,1,1,60,85.7755126953125,110.34063720703125,24.56512451171875,1.286388547731306
,,gutenberg_4,4,VERB,len_crc,96,84,0,0,0,85.7755126953125,,,
,,gutenberg_4,4,ADJ,len_crc,96,9,0,0,0,85.7755126953125,,,
,,gutenberg_4,4,ANY,len_crc,96,190,1,1,65,85.7755126953125,111.69853973388672,25.92302703857422,1.3022194356407604
,,gutenberg_5,5,NOUN,len_crc,96,100,1,1,54,68.5631103515625,81.35713195800781,12.794021606445312,1.1866021179733972
,,gutenberg_5,5,VERB,len_crc,96,127,1,1,61,68.5631103515625,86.64213562011719,18.079025268554688,1.2636844386996613
,,gutenberg_5,5,ADJ,len_crc,96,17,0,0,0,68.5631103515625,,,
,,gutenberg_5,5,ANY,len_crc,96,244,1,1,54,68.5631103515625,82.18538665771484,13.622276306152344,1.1986822977590004
,,gutenberg_6,6,NOUN,len_crc,96,53,0,0,0,126.23391723632812,,,
,,gutenberg_6,6,VERB,len_crc,96,85,0,0,0,126.23391723632812,,,
,,gutenberg_6,6,ADJ,len_crc,96,11,0,0,0,126.23391723632812,,,
,,gutenberg_6,6,ANY,len_crc,96,149,1,1,57,126.23391723632812,155.5211944580078,29.287277221679688,1.2320079885253792
,,gutenberg_7,7,NOUN,len_crc,96,113,1,1,49,111.46251678466797,128.53173828125,17.06922149658203,1.15313866929416
,,gutenberg_7,7,VERB,len_crc,96,112,1,1,66,111.46251678466797,157.12034606933594,45.65782928466797,1.40962496273858
,,gutenberg_7,7,ADJ,len_crc,96,15,0,0,0,111.46251678466797,,,
,,gutenberg_7,7,ANY,len_crc,96,240,1,1,58,111.46251678466797,142.283203125,30.82068634033203,1.2765116671452328
,,gutenberg_8,8,NOUN,len_crc,96,114,1,1,59,80.54191589355469,97.31803894042969,16.776123046875,1.2082905883322488
,,gutenberg_8,8,VERB,len_crc,96,119,1,1,59,80.54191589355469,107.86943054199219,27.3275146484375,1.3392955623821257
,,gutenberg_8,8,ADJ,len_crc,96,13,0,0,0,80.54191589355469,,,
,,gutenberg_8,8,ANY,len_crc,96,246,1,1,62,80.54191589355469,100.9221420288086,20.380226135253906,1.2530387551518976
,,gutenberg_9,9,NOUN,len_crc,96,92,0,0,0,81.26350402832031,,,
,,gutenberg_9,9,VERB,len_crc,96,153,1,1,53,81.26350402832031,107.1771240234375,25.913619995117188,1.318883861888189
,,gutenberg_9,9,ADJ,len_crc,96,19,0,0,0,81.26350402832031,,,
,,gutenberg_9,9,ANY,len_crc,96,264,1,1,55,81.26350402832031,107.7373275756836,26.47382354736328,1.3257775290878075
,,gutenberg_10,10,NOUN,len_crc,96,91,0,0,0,91.81541442871094,,,
,,gutenberg_10,10,VERB,len_crc,96,143,1,1,60,91.81541442871094,119.4170913696289,27.60167694091797,1.3006213838129435
,,gutenberg_10,10,ADJ,len_crc,96,5,0,0,0,91.81541442871094,,,
,,gutenberg_10,10,ANY,len_crc,96,239,1,1,57,91.81541442871094,116.08193969726562,24.266525268554688,1.264296854940367
,,gutenberg_11,11,NOUN,len_crc,96,55,0,0,0,81.3822021484375,,,
,,gutenberg_11,11,VERB,len_crc,96,84,0,0,0,81.3822021484375,,,
,,gutenberg_11,11,ADJ,len_crc,96,21,0,0,0,81.3822021484375,,,
,,gutenberg_11,11,ANY,len_crc,96,160,1,1,60,81.3822021484375,106.19043731689453,24.80823516845703,1.304836125264931
,,gutenberg_12,12,NOUN,len_crc,96,86,0,0,0,80.27123260498047,,,
,,gutenberg_12,12,VERB,len_crc,96,80,0,0,0,80.27123260498047,,,
,,gutenberg_12,12,ADJ,len_crc,96,27,0,0,0,80.27123260498047,,,
,,gutenberg_12,12,ANY,len_crc,96,193,1,1,55,80.27123260498047,100.95819091796875,20.68695831298828,1.2577132260418877
,,gutenberg_13,13,NOUN,len_crc,96,72,0,0,0,93.50914764404297,,,
,,gutenberg_13,13,VERB,len_crc,96,109,1,1,62,93.50914764404297,122.28781127929688,28.778663635253906,1.307763083723149
,,gutenberg_13,13,ADJ,len_crc,96,6,0,0,0,93.50914764404297,,,
,,gutenberg_13,13,ANY,len_crc,96,187,1,1,53,93.50914764404297,114.5817642211914,21.072616577148438,1.2253535307301122
,,gutenberg_14,14,NOUN,len_crc,96,89,0,0,0,73.93663024902344,,,
,,gutenberg_14,14,VERB,len_crc,96,133,1,1,60,73.93663024902344,94.17332458496094,20.2366943359375,1.2737032275852846
,,gutenberg_14,14,ADJ,len_crc,96,6,0,0,0,73.93663024902344,,,
,,gutenberg_14,14,ANY,len_crc,96,228,1,1,56,73.93663024902344,90.14921569824219,16.21258544921875,1.2192767697772227
,,gutenberg_15,15,NOUN,len_crc,96,127,1,1,44,75.02837371826172,87.6458511352539,12.617477416992188,1.1681694110067207
,,gutenberg_15,15,VERB,len_crc,96,135,1,1,63,75.02837371826172,103.09074401855469,28.06237030029297,1.3740234381951246
,,gutenberg_15,15,ADJ,len_crc,96,17,0,0,0,75.02837371826172,,,
,,gutenberg_15,15,ANY,len_crc,96,279,1,1,49,75.02837371826172,90.56775665283203,15.539382934570312,1.207113418090629
,,gutenberg_16,16,NOUN,len_crc,96,116,1,1,61,66.10740661621094,82.982177734375,16.874771118164062,1.2552629422619948
,,gutenberg_16,16,VERB,len_crc,96,113,1,1,68,66.10740661621094,96.44874572753906,30.341339111328125,1.458970343330452
,,gutenberg_16,16,ADJ,len_crc,96,8,0,0,0,66.10740661621094,,,
,,gutenberg_16,16,ANY,len_crc,96,237,1,1,59,66.10740661621094,90.8581314086914,24.75072479248047,1.3744016905121046
,,gutenberg_17,17,NOUN,len_crc,96,84,0,0,0,120.92797088623047,,,
,,gutenberg_17,17,VERB,len_crc,96,130,1,1,69,120.92797088623047,142.15997314453125,21.23200225830078,1.1755756100321566
,,gutenberg_17,17,ADJ,len_crc,96,26,0,0,0,120.92797088623047,,,
,,gutenberg_17,17,ANY,len_crc,96,240,1,1,66,120.92797088623047,138.76133728027344,17.83336639404297,1.1474709801491723
,,gutenberg_18,18,NOUN,len_crc,96,82,0,0,0,150.57388305664062,,,
,,gutenberg_18,18,VERB,len_crc,96,141,1,1,58,150.57388305664062,196.54725646972656,45.97337341308594,1.305321032305399
,,gutenberg_18,18,ADJ,len_crc,96,10,0,0,0,150.57388305664062,,,
